city,zip
"International Correspondence School, PH","400, PH"
"Asian Development Bank, PH","401, PH"
"Radio Bible Class, PH","410, PH"
"Bible School on the Air, PH","420, PH"
"Febias College of Bible, PH","550, PH"
"Far East Broadcasting Corporation, PH","560, PH"
"Social Security System, PH","800, PH"
"Camp Crame, PH","801, PH"
"Camp Aguinaldo, PH","802, PH"
"Araneta Center, PH","810, PH"
"Bureau of Internal Revenue, PH","820, PH"
"National Irrigation Administration, PH","830, PH"
"V. Luna Hospital, PH","840, PH"
"Philippine Heart Center, PH","850, PH"
"Quezon City Hall, PH","860, PH"
"Veterans Hospital, PH","870, PH"
"Commission on Audit, PH","880, PH"
"Manila Bulletin, PH","900, PH"
"Adventist University of the Philippines, PH","901, PH"
"Far East Broadcasting Corporation, PH","902, PH"
"Manila Hilton, PH","903, PH"
"Midland Hotel, PH","904, PH"
"Bacacay, PH","905, PH"
"The Philippine Star, PH","905, PH"
"Manila Medical Center, PH","906, PH"
"San Miguel Corporation, PH","907, PH"
"Pan-Filipino Shipping, PH","908, PH"
"Summer Institute of Linguistics, PH","909, PH"
"Department of Labor and Employment, PH","910, PH"
"National Statistics Office, PH","911, PH"
"Bureau of Plant Industry, PH","912, PH"
"Manila Hotel, PH","913, PH"
"Philippine Refining Company, PH","914, PH"
"International Correspondence Institute, PH","915, PH"
"Radio Veritas, PH","916, PH"
"Ateneo de Manila University, PH","917, PH"
"Fil-Japan Shipping Company, PH","918, PH"
"Manila Police District, PH","919, PH"
"Sunbursts Publications, PH","920, PH"
"Philippine Plaza Hotel, PH","921, PH"
"De La Salle University, PH","922, PH"
"Don Stewart Evangelistic Association, PH","923, PH"
"World Map, PH","924, PH"
"Chinabank, PH","925, PH"
"Caltex, PH","926, PH"
"Philippine Veterans Affairs Office, PH","927, PH"
"Philippine Campus Crusade, PH","928, PH"
"Not used, PH","929, PH"
"United States Embassy, PH","930, PH"
"Philippine National Bank, PH","940, PH"
"Manila Midtown Hotel, PH","950, PH"
"International Rice Research Institute, PH","960, PH"
"Department of Justice, PH","970, PH"
"Asian Development Bank, PH","980, PH"
"Philamlife, PH","990, PH"
"Manila Central Post Office, PH","1000, PH"
"Quiapo, PH","1001, PH"
"Intramuros, PH","1002, PH"
"Santa Cruz, PH","1003, PH"
"Malate, PH","1004, PH"
"San Miguel, PH","1005, PH"
"Binondo, PH","1006, PH"
"Paco, PH","1007, PH"
"Sampaloc, PH","1008, PH"
"Santa Ana, PH","1009, PH"
"San Nicolas, PH","1010, PH"
"Pandacan, PH","1011, PH"
"Tondo, PH","1012, PH"
"Tondo, PH","1013, PH"
"Santa Cruz, PH","1014, PH"
"Sampaloc, PH","1015, PH"
"Santa Mesa, PH","1016, PH"
"San Andres, PH","1017, PH"
"Port Area, PH","1018, PH"
"Santa Mesa P.O. Box, PH","1035, PH"
"Santa Cruz P.O. Box, PH","1040, PH"
"Ermita, PH","1045, PH"
"Manila CPO-PO Box# 1000 to 1099, PH","1050, PH"
"Manila CPO-PO Box# 1100 to 1199, PH","1051, PH"
"Manila CPO-PO Box# 1200 to 1299, PH","1052, PH"
"Manila CPO-PO Box# 1300 to 1399, PH","1053, PH"
"Manila CPO-PO Box# 1400 to 1499, PH","1054, PH"
"Manila CPO-PO Box# 1500 to 1599, PH","1055, PH"
"Manila CPO-PO Box# 1600 to 1699, PH","1056, PH"
"Manila CPO-PO Box# 1700 to 1799, PH","1057, PH"
"Manila CPO-PO Box# 1800 to 1899, PH","1058, PH"
"Manila CPO-PO Box# 1900 to 1999, PH","1059, PH"
"Manila CPO-PO Box# 2000 to 2099, PH","1060, PH"
"Manila CPO-PO Box# 2100 to 2199, PH","1061, PH"
"Manila CPO-PO Box# 2200 to 2299, PH","1062, PH"
"Manila CPO-PO Box# 2300 to 2399, PH","1063, PH"
"Manila CPO-PO Box# 2400 to 2499, PH","1064, PH"
"Manila CPO-PO Box# 2500 to 2599, PH","1065, PH"
"Manila CPO-PO Box# 2600 to 2699, PH","1066, PH"
"Manila CPO-PO Box# 2700 to 2799, PH","1067, PH"
"Manila CPO-PO Box# 2800 to 2899, PH","1068, PH"
"Manila CPO-PO Box# 2900 to 2999, PH","1069, PH"
"Manila CPO-PO Box# 3000 to 3099, PH","1070, PH"
"Manila CPO-PO Box# 3100 to 3199, PH","1071, PH"
"Manila CPO-PO Box# 3200 to 3299, PH","1072, PH"
"Manila CPO-PO Box# 3300 to 3399, PH","1073, PH"
"Manila CPO-PO Box# 3400 to 3499, PH","1074, PH"
"Manila CPO-PO Box# 3500 to 3599, PH","1075, PH"
"Manila CPO-PO Box# 3600 to 3699, PH","1076, PH"
"Manila CPO-PO Box# 3700 to 3799, PH","1077, PH"
"Manila CPO-PO Box# 3800 to 3899, PH","1078, PH"
"Manila CPO-PO Box# 3900 to 3999, PH","1079, PH"
"Manila CPO-PO Box# 4000 to 4099, PH","1080, PH"
"Manila CPO-PO Box# 4100 to 4199, PH","1081, PH"
"Manila CPO-PO Box# 4200 to 4299, PH","1082, PH"
"Manila CPO-PO Box# 4300 to 4399, PH","1083, PH"
"Manila CPO-PO Box# 4400 to 4499, PH","1084, PH"
"Manila CPO-PO Box# 4500 to 4599, PH","1085, PH"
"Manila CPO-PO Box# 4600 to 4699, PH","1086, PH"
"Manila CPO-PO Box# 4700 to 4799, PH","1087, PH"
"Manila CPO-PO Box# 4800 to 4899, PH","1088, PH"
"Manila CPO-PO Box# 4900 to 4999, PH","1089, PH"
"Manila CPO-PO Box# 5000 to 5099, PH","1090, PH"
"Manila CPO-PO Box# 5100 to 5199, PH","1091, PH"
"Manila CPO-PO Box# 5200 to 5299, PH","1092, PH"
"Manila CPO-PO Box# 5300 to 5399, PH","1093, PH"
"Manila CPO-PO Box# 5400 to 5499, PH","1094, PH"
"Manila CPO-PO Box# 5500 to 5599, PH","1095, PH"
"Manila CPO-PO Box# 5600 to 5699, PH","1096, PH"
"Alcantara, PH","1099, PH"
"Quezon City CPO, PH","1100, PH"
"Central, PH","1100, PH"
"Project 6, PH","1100, PH"
"Piñahan, PH","1100, PH"
"Teachers Village, PH","1101, PH"
"San Vicente, PH","1101, PH"
"University of the Philippines, PH","1101, PH"
"Malaya, PH","1101, PH"
"Sikatuna Village, PH","1101, PH"
"Old Capitol Site, PH","1101, PH"
"University of the Philippines Village, PH","1101, PH"
"Botocan, PH","1101, PH"
"Krus na Ligas, PH","1101, PH"
"Quirino District (Project 2 &amp; 3), PH","1102, PH"
"Silangan, PH","1102, PH"
"Duyan-Duyan, PH","1102, PH"
"Claro, PH","1102, PH"
"Kamias, PH","1102, PH"
"Amihan, PH","1102, PH"
"E. Rodriguez, PH","1102, PH"
"South Triangle, PH","1103, PH"
"Obrero, PH","1103, PH"
"Sacred Heart, PH","1103, PH"
"Roxas District, PH","1103, PH"
"Laging Handa, PH","1103, PH"
"Kamuning, PH","1103, PH"
"Paligsahan, PH","1103, PH"
"Damayan, PH","1104, PH"
"Diliman, PH","1104, PH"
"Talayan, PH","1104, PH"
"Nayon Kaunlaran, PH","1104, PH"
"Paraiso, PH","1104, PH"
"West Triangle, PH","1104, PH"
"Santa Cruz, PH","1104, PH"
"Mariblo, PH","1104, PH"
"Phil-Am, PH","1104, PH"
"Santo Cristo, PH","1105, PH"
"Alicia, PH","1105, PH"
"San Antonio, Quezon City, PH","1105, PH"
"Katipunan, PH","1105, PH"
"Paltok, PH","1105, PH"
"R. Magsaysay, PH","1105, PH"
"Bungad, PH","1105, PH"
"Del Monte, PH","1105, PH"
"Veterans Village, PH","1105, PH"
"Bagong Pag-Asa, PH","1105, PH"
"Project 7, PH","1105, PH"
"Balintawak, PH","1106, PH"
"Bahay Toro, PH","1106, PH"
"Balumbato, PH","1106, PH"
"Apolonio Samson, PH","1106, PH"
"Unang Sigaw, PH","1106, PH"
"Baesa, PH","1106, PH"
"Project 8, PH","1106, PH"
"New Era, PH","1107, PH"
"Pasong Tamo, PH","1107, PH"
"Loyola Heights, PH","1108, PH"
"Pansol, PH","1108, PH"
"Tagumpay, PH","1109, PH"
"Cubao, PH","1109, PH"
"Marilag, PH","1109, PH"
"Masagana, PH","1109, PH"
"San Roque, PH","1109, PH"
"Villa Maria Clara, PH","1109, PH"
"Bayanihan, PH","1109, PH"
"Dioquino Zobel, PH","1109, PH"
"Escopa, PH","1109, PH"
"Project 4, PH","1109, PH"
"Socorro, PH","1109, PH"
"Blue Ridge, PH","1109, PH"
"Mangga, PH","1109, PH"
"Bagong Buhay, PH","1109, PH"
"Milagrosa, PH","1109, PH"
"Ugong Norte, PH","1110, PH"
"Talampas, PH","1110, PH"
"Bagong Bayan, PH","1110, PH"
"Libis, PH","1110, PH"
"St. Ignatius, PH","1110, PH"
"Camp Aguinaldo, PH","1110, PH"
"White Plains, PH","1110, PH"
"Crame, PH","1111, PH"
"Bagong Lipunan, PH","1111, PH"
"Pinagkaisahan, PH","1111, PH"
"St. Martin de Porres, PH","1111, PH"
"Immaculate Concepcion, PH","1111, PH"
"Kaunlaran, PH","1111, PH"
"Mariana, PH","1112, PH"
"Kalusugan, PH","1112, PH"
"Valencia, PH","1112, PH"
"Kristong Hari, PH","1112, PH"
"Horseshoe, PH","1112, PH"
"Damayan Lagi, PH","1112, PH"
"Tatalon, PH","1113, PH"
"Doña Aurora, PH","1113, PH"
"Don Manuel, PH","1113, PH"
"Santol, PH","1113, PH"
"Doña Imelda, PH","1113, PH"
"Doña Josefa, PH","1113, PH"
"San Isidro, PH","1113, PH"
"Santo Niño, PH","1113, PH"
"Lourdes, PH","1114, PH"
"Santa Teresita, PH","1114, PH"
"Salvacion, PH","1114, PH"
"Sienna, PH","1114, PH"
"La Loma, PH","1114, PH"
"Matalahib, PH","1114, PH"
"Maharlika, PH","1114, PH"
"Gintong Silahis, PH","1114, PH"
"Paang Bundok, PH","1114, PH"
"St. Peter, PH","1114, PH"
"San Isidro Labrador, PH","1114, PH"
"Pag-Ibig sa Nayon, PH","1115, PH"
"Damar, PH","1115, PH"
"Balingasa, PH","1115, PH"
"San Jose, PH","1115, PH"
"Masambong, PH","1115, PH"
"Manresa, PH","1115, PH"
"Sangandaan, PH","1116, PH"
"Sauyo, PH","1116, PH"
"Tandang Sora, PH","1116, PH"
"San Bartolome, PH","1116, PH"
"Bagbag, PH","1116, PH"
"Talipapa, PH","1116, PH"
"Santa Lucia, PH","1117, PH"
"Santa Monica, PH","1117, PH"
"San Agustin, PH","1117, PH"
"Gulod, PH","1117, PH"
"Capri, PH","1117, PH"
"Pasong Putik, PH","1118, PH"
"Fairview, PH","1118, PH"
"Matandang Balara, PH","1119, PH"
"Payatas, PH","1119, PH"
"Bagong Silangan, PH","1119, PH"
"BF Homes, PH","1120, PH"
"Violago Homes, PH","1120, PH"
"Fairview [North], PH","1121, PH"
"Commonwealth, PH","1121, PH"
"Fairview [South], PH","1122, PH"
"Novaliches Proper, PH","1123, PH"
"Damong Maliit, PH","1123, PH"
"Kaligayahan, PH","1124, PH"
"Nagkaisang Nayon, PH","1125, PH"
"Doña Faustina Subdivision, PH","1125, PH"
"Batasan Hills, PH","1126, PH"
"Capitol Hills/Park, PH","1126, PH"
"Holy Spirit, PH","1127, PH"
"Vasra, PH","1128, PH"
"Culiat, PH","1128, PH"
"Araneta Center P.O. Boxes, PH","1135, PH"
"Murphy District P.O. Boxes, PH","1138, PH"
"Broadway Center P.O. Boxes, PH","1141, PH"
"University of the Philippines P.O. Boxes, PH","1144, PH"
"Novaliches P.O. Boxes, PH","1147, PH"
"Quezon City CPO - P.O. Box Nos. 1000 to 1099, PH","1150, PH"
"Quezon City CPO - P.O. Box Nos. 1100 to 1199, PH","1151, PH"
"Quezon City CPO - P.O. Box Nos. 1200 to 1299, PH","1152, PH"
"Quezon City CPO - P.O. Box Nos. 1300 to 1399, PH","1153, PH"
"Quezon City CPO - P.O. Box Nos. 1400 to 1499, PH","1154, PH"
"Quezon City CPO - P.O. Box Nos. 1500 to 1599, PH","1155, PH"
"Quezon City CPO - P.O. Box Nos. 1600 to 1699, PH","1156, PH"
"Quezon City CPO - P.O. Box Nos. 1700 to 1799, PH","1157, PH"
"Quezon City CPO - P.O. Box Nos. 1800 to 1899, PH","1158, PH"
"Quezon City CPO - P.O. Box Nos. 1900 to 1999, PH","1159, PH"
"Quezon City CPO - P.O. Box Nos. 2000 to 2099, PH","1160, PH"
"Quezon City CPO - P.O. Box Nos. 2100 to 2199, PH","1161, PH"
"Quezon City CPO - P.O. Box Nos. 2200 to 2299, PH","1162, PH"
"Quezon City CPO - P.O. Box Nos. 2300 to 2399, PH","1163, PH"
"Quezon City CPO - P.O. Box Nos. 2400 to 2499, PH","1164, PH"
"Quezon City CPO - P.O. Box Nos. 2500 to 2599, PH","1165, PH"
"Quezon City CPO - P.O. Box Nos. 2600 to 2699, PH","1166, PH"
"Quezon City CPO - P.O. Box Nos. 2700 to 2799, PH","1167, PH"
"Quezon City CPO - P.O. Box Nos. 2800 to 2899, PH","1168, PH"
"Quezon City CPO - P.O. Box Nos. 2900 to 2999, PH","1169, PH"
"Quezon City CPO - P.O. Box Nos. 3000 to 3099, PH","1170, PH"
"Quezon City CPO - P.O. Box Nos. 3100 to 3199, PH","1171, PH"
"Quezon City CPO - P.O. Box Nos. 3200 to 3299, PH","1172, PH"
"Quezon City CPO - P.O. Box Nos. 3300 to 3399, PH","1173, PH"
"Quezon City CPO - P.O. Box Nos. 3400 to 3499, PH","1174, PH"
"Quezon City CPO - P.O. Box Nos. 3500 to 3599, PH","1175, PH"
"Quezon City CPO - P.O. Box Nos. 3600 to 3699, PH","1176, PH"
"Quezon City CPO - P.O. Box Nos. 3700 to 3799, PH","1177, PH"
"Makati Central Post Office, PH","1200, PH"
"Fort Bonifacio, PH","1201, PH"
"Fort Bonifacio Naval Station, PH","1202, PH"
"San Antonio Village, PH","1203, PH"
"La Paz, Singkamas, and Tejeros, PH","1204, PH"
"Santa Cruz, PH","1205, PH"
"Kasilawan, PH","1206, PH"
"Carmona and Olympia, PH","1207, PH"
"Valenzuela (includes Rizal, San Miguel, and Santiago Villages), PH","1208, PH"
"Bel-Air, PH","1209, PH"
"Poblacion, PH","1210, PH"
"Guadalupe Viejo (includes Palm Village), PH","1211, PH"
"Guadalupe Nuevo (includes Visayan Village), PH","1212, PH"
"Pinagkaisahan - Pitogo, PH","1213, PH"
"Cembo, PH","1214, PH"
"West Rembo, PH","1215, PH"
"East Rembo and Malapad na Bato, PH","1216, PH"
"Comembo, PH","1217, PH"
"Pembo, PH","1218, PH"
"Forbes Park North, PH","1219, PH"
"Forbes Park South, PH","1220, PH"
"Dasmariñas Village North, PH","1221, PH"
"Dasmariñas Village South, PH","1222, PH"
"San Lorenzo Village, PH","1223, PH"
"Makati Commercial Center, PH","1224, PH"
"Urdaneta Village, PH","1225, PH"
"Ayala Avenue-Paseo de Roxas, PH","1226, PH"
"Salcedo Village, PH","1227, PH"
"Greenbelt, PH","1228, PH"
"Legaspi Village, PH","1229, PH"
"Pio del Pilar, PH","1230, PH"
"Pasong Tamo and Ecology Village, PH","1231, PH"
"Magallanes Village, PH","1232, PH"
"Bangkal, PH","1233, PH"
"San Isidro, PH","1234, PH"
"Palanan, PH","1235, PH"
"Makati CPO-PO Box# 1000 to 1099, PH","1250, PH"
"Makati CPO-PO Box# 1100 to 1199, PH","1251, PH"
"Makati CPO-PO Box# 1200 to 1299, PH","1252, PH"
"Makati CPO-PO Box# 1300 to 1399, PH","1253, PH"
"Makati CPO-PO Box# 1400 to 1499, PH","1254, PH"
"Makati CPO-PO Box# 1500 to 1599, PH","1255, PH"
"Makati CPO-PO Box# 1600 to 1699, PH","1256, PH"
"Makati CPO-PO Box# 1700 to 1799, PH","1257, PH"
"Makati CPO-PO Box# 1800 to 1899, PH","1258, PH"
"Makati CPO-PO Box# 1900 to 1999, PH","1259, PH"
"Makati CPO-PO Box# 2000 to 2099, PH","1260, PH"
"Makati CPO-PO Box# 2100 to 2199, PH","1261, PH"
"Makati CPO-PO Box# 2200 to 2299, PH","1262, PH"
"Makati CPO-PO Box# 2300 to 2399, PH","1263, PH"
"Makati CPO-PO Box# 2400 to 2499, PH","1264, PH"
"Makati CPO-PO Box# 2500 to 2599, PH","1265, PH"
"Makati CPO-PO Box# 2600 to 2699, PH","1266, PH"
"Makati CPO-PO Box# 2700 to 2799, PH","1267, PH"
"Makati CPO-PO Box# 2800 to 2899, PH","1268, PH"
"Makati CPO-PO Box# 2900 to 2999, PH","1269, PH"
"Makati CPO-PO Box# 3000 to 3099, PH","1270, PH"
"Makati CPO-PO Box# 3100 to 3199, PH","1271, PH"
"Makati CPO-PO Box# 3200 to 3299, PH","1272, PH"
"Makati CPO-PO Box# 3300 to 3399, PH","1273, PH"
"Makati CPO-PO Box# 3400 to 3499, PH","1274, PH"
"Makati CPO-PO Box# 3500 to 3599, PH","1275, PH"
"Makati CPO-PO Box# 3600 to 3699, PH","1276, PH"
"Makati CPO-PO Box# 3700 to 3799, PH","1277, PH"
"Makati CPO-PO Box# 3800 to 3899, PH","1278, PH"
"Makati CPO-PO Box# 3900 to 3999, PH","1279, PH"
"Makati CPO-PO Box# 4000 to 4099, PH","1280, PH"
"Makati CPO-PO Box# 4100 to 4199, PH","1281, PH"
"Makati CPO-PO Box# 4200 to 4299, PH","1282, PH"
"Makati CPO-PO Box# 4300 to 4399, PH","1283, PH"
"Makati CPO-PO Box# 4400 to 4499, PH","1284, PH"
"Makati CPO-PO Box# 4500 to 4599, PH","1285, PH"
"Makati CPO-PO Box# 4600 to 4699, PH","1286, PH"
"Makati CPO-PO Box# 4700 to 4799, PH","1287, PH"
"Makati CPO-PO Box# 4800 to 4899, PH","1288, PH"
"Makati CPO-PO Box# 4900 to 4999, PH","1289, PH"
"Makati CPO-PO Box# 5000 to 5099, PH","1290, PH"
"Makati CPO-PO Box# 5100 to 5199, PH","1291, PH"
"Makati CPO-PO Box# 5200 to 5299, PH","1292, PH"
"Makati CPO-PO Box# 5300 to 5399, PH","1293, PH"
"Makati CPO-PO Box# 5400 to 5499, PH","1294, PH"
"Makati CPO-PO Box# 5500 to 5599, PH","1295, PH"
"Makati CPO-PO Box# 5600 to 5699, PH","1296, PH"
"Makati CPO-PO Box# 5700 to 5799, PH","1297, PH"
"Makati CPO-PO Box# 5800 to 5899, PH","1298, PH"
"Makati CPO-PO Box# 5900 to 5999, PH","1299, PH"
"Pasay City Central Post Office, PH","1300, PH"
"Domestic Airport P.O., PH","1301, PH"
"San Rafael, PH","1302, PH"
"San Roque, PH","1303, PH"
"Santa Clara, PH","1304, PH"
"San Jose, PH","1305, PH"
"San Isidro, PH","1306, PH"
"Philippine International Convention Center, PH","1307, PH"
"Bay City, PH","1308, PH"
"Villamor Airbase, PH","1309, PH"
"Pasay City CPO - P.O. Box Nos. 1000 to 1099, PH","1350, PH"
"Pasay City CPO - P.O. Box Nos. 1100 to 1199, PH","1351, PH"
"Pasay City CPO - P.O. Box Nos. 1200 to 1299, PH","1352, PH"
"Pasay City CPO - P.O. Box Nos. 1300 to 1399, PH","1353, PH"
"Pasay City CPO - P.O. Box Nos. 1400 to 1499, PH","1354, PH"
"Domestic Airport P.O. - P.O. Box Nos. 1000 to 1099, PH","1375, PH"
"Domestic Airport P.O. - P.O. Box Nos. 1100 to 1199, PH","1376, PH"
"Domestic Airport P.O. - P.O. Box Nos. 1200 to 1299, PH","1377, PH"
"Domestic Airport P.O. - P.O. Box Nos. 1300 to 1399, PH","1378, PH"
"Domestic Airport P.O. - P.O. Box Nos. 1400 to 1499, PH","1379, PH"
"Domestic Airport P.O. - P.O. Box Nos. 1500 to 1599, PH","1380, PH"
"Domestic Airport P.O. - P.O. Box Nos. 1600 to 1699, PH","1381, PH"
"Caloocan City Central Post Office, PH","1400, PH"
"Baesa, PH","1401, PH"
"Santa Quiteria, PH","1402, PH"
"Grace Park East, PH","1403, PH"
"San Jose, PH","1404, PH"
"First Avenue to Seventh Avenue West, PH","1405, PH"
"Grace Park West, PH","1406, PH"
"University Hills, PH","1407, PH"
"Sangandaan, PH","1408, PH"
"Kaunlaran Village, PH","1409, PH"
"Kaunlaran Village (shared with Malabon City and Navotas), PH","1409, PH"
"Kaunlaran Village (shared with Caloocan City and Navotas), PH","1409, PH"
"Maypajo, PH","1410, PH"
"Fish Market (shared with Navotas), PH","1411, PH"
"Fish Market, PH","1411, PH"
"Isla de Cocomo, PH","1412, PH"
